player_id,birth_date,espn_id
00-0006848,1976-05-31,
00-0006877,1968-07-06,
00-0006949,1968-01-04,
00-0006977,1970-04-28,
00-0006994,1970-06-04,
00-0007024,1972-08-25,
00-0007091,1975-09-25,1575
00-0007093,1971-11-07,
00-0007103,1974-05-01,
00-0007120,1969-12-12,
00-0007144,1975-07-13,
00-0007389,1974-10-13,
00-0007436,1972-02-23,
00-0007468,1976-04-05,
00-0007520,1968-05-15,
00-0007530,1971-01-08,
00-0007546,1977-04-30,
00-0007661,1973-10-07,
00-0007681,1976-06-05,
00-0007744,1972-01-16,
00-0007749,1976-03-21,
00-0007795,1975-05-02,
00-0007798,1970-05-15,
00-0007832,1972-09-20,
00-0007835,1973-07-09,
00-0007924,1971-04-09,
00-0007969,1972-09-18,
00-0008044,1966-03-05,
00-0008046,1978-03-30,
00-0008059,1970-11-08,
00-0008060,1969-11-18,
00-0008156,1977-06-17,
00-0008190,1976-07-24,
00-0008196,1976-01-10,
00-0008210,1971-08-16,
00-0008224,1973-12-08,
00-0008229,1975-09-02,
00-0008241,1978-08-01,
00-0008300,1973-02-02,
00-0008313,1969-02-22,
00-0008329,1972-04-11,
00-0008346,1967-08-17,
00-0008391,1972-05-05,
00-0008400,1970-12-28,
00-0008430,1967-10-25,
00-0008442,1968-09-13,
00-0008454,1972-01-03,
00-0008529,1974-04-20,
00-0008560,1976-07-15,
00-0008561,1972-07-22,
00-0008568,1974-07-13,
00-0008570,1971-01-15,
00-0008572,1971-02-14,
00-0008575,1977-08-27,
00-0008598,1976-08-10,
00-0008612,1973-03-18,
00-0008660,1966-02-10,
00-0008704,1972-12-01,
00-0008723,1974-09-18,
00-0008749,1974-09-16,
00-0008751,1973-12-31,
00-0008763,1975-12-07,
00-0008903,1972-06-21,
00-0008907,1969-10-09,
00-0008921,1970-06-06,
00-0008962,1974-12-23,
00-0008970,1968-05-19,
00-0009007,1973-11-21,
00-0009038,1973-06-07,
00-0009119,1977-02-22,
00-0009163,1973-01-20,
00-0009165,1974-04-23,
00-0009237,1965-08-06,
00-0009266,1977-05-29,
00-0009288,1970-01-20,
00-0009311,1972-09-21,
00-0009323,1977-01-31,
00-0009443,1970-10-04,
00-0009451,1964-11-06,
00-0009550,1974-01-29,
00-0009599,1975-09-06,
00-0009738,1971-10-01,
00-0009819,1968-06-15,
00-0009829,1970-05-21,
00-0009842,1971-10-05,
00-0009868,1973-04-17,
00-0009869,1974-10-16,
00-0010007,1974-09-08,
00-0010092,1976-06-25,
00-0010107,1968-07-04,
00-0010137,1972-08-06,
00-0010146,1975-11-23,
00-0010194,1968-12-21,
00-0010202,1970-05-13,
00-0010240,1975-06-26,
00-0010333,1973-08-15,
00-0010346,1976-03-24,1428
00-0010379,1961-09-15,
00-0010436,1975-07-08,
00-0010442,1973-05-01,
00-0010477,1965-09-05,
00-0010500,1974-01-17,
00-0010539,1967-06-07,
00-0010560,1970-06-01,
00-0010598,1975-06-04,
00-0010599,1974-01-28,
00-0010650,1968-08-17,
00-0010668,1970-01-06,
00-0010747,1972-09-19,
00-0010762,1975-11-11,
00-0010796,1976-05-26,
00-0010824,1969-12-02,
00-0010843,1976-09-30,
00-0010859,1971-04-21,
00-0010892,1976-06-24,
00-0010942,1975-09-20,
00-0010951,1976-11-03,
00-0010994,1974-10-17,
00-0011022,1976-11-25,
00-0011024,1973-02-14,
00-0011044,1977-01-12,
00-0011068,1972-12-14,
00-0011081,1972-04-26,
00-0011151,1968-01-23,
00-0011187,1971-02-21,
00-0011213,1971-02-19,
00-0011224,1973-04-20,
00-0011236,1977-04-24,
00-0011244,1965-08-09,
00-0011276,1971-02-09,
00-0011328,1968-10-28,
00-0011333,1969-10-31,
00-0011341,1973-01-07,
00-0011378,1970-03-19,
00-0011392,1975-09-07,
00-0011399,1968-08-18,
00-0011425,1971-10-09,
00-0011434,1968-01-02,
00-0011488,1976-07-30,
00-0011506,1976-06-08,
00-0011524,1956-11-18,
00-0011551,1969-11-11,
00-0011568,1969-10-20,
00-0011601,1968-09-27,
00-0011640,1975-09-05,
00-0011675,1972-01-13,
00-0011727,1971-10-07,
00-0011754,1977-02-13,1433
00-0011770,1973-07-17,
00-0011795,1973-05-05,
00-0011854,1973-05-11,
00-0011869,1970-10-16,
